	Lineage	Species	Graph	Taxid	Common_name	Order	Female_maturity_(yrs)	Mass_(g)	Notes_on_missing_life_history	Expected_lifespan	Highest_max	Curated_Q90	Curated_Q95	Curated_E90	Curated_E95	Curated_max	Curated_lq	Curated_females_max	Curated_males_max
0	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Antilocapridae,Antilocapra,Antilocapra americana	Antilocapra americana		9891	Pronghorn	Artiodactyla	1.5	46100.0		25.91	17.0	no age record available	no age record available	no age record available	no age record available	17.0	0.66		
1	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Hippotraginae,Addax,Addax nasomaculatus	Addax nasomaculatus		59515	Addax	Artiodactyla	2.92	92500.0		29.49	28.0	no age record available	no age record available	no age record available	no age record available	28.0	0.95		
2	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Aepycerotinae,Aepyceros,Aepyceros melampus	Aepyceros melampus		9897	Impala	Artiodactyla	1.25	52500.0		26.54	25.6	no age record available	no age record available	no age record available	no age record available	25.6	0.96		
3	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Alcelaphinae,Alcelaphus,Alcelaphus buselaphus	Alcelaphus buselaphus		59517	Hartebeest	Artiodactyla	2.0	159000.0		32.62	22.5	no age record available	no age record available	no age record available	no age record available	22.5	0.69		
4	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Caprinae,Ammotragus,Ammotragus lervia	Ammotragus lervia		9899	Aoudad	Artiodactyla	0.92	92500.0		29.49	21.7	no age record available	no age record available	no age record available	no age record available	21.7	0.74		
5	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Antidorcas,Antidorcas marsupialis	Antidorcas marsupialis		59523	Springbok	Artiodactyla	0.58	39000.0		25.12	20.0	no age record available	no age record available	no age record available	no age record available	20.0	0.8		
6	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Antilopinae,Antilope,Antilope cervicapra	Antilope cervicapra		59525	Blackbuck	Artiodactyla	1.28	37500.0		24.93	23.9	no age record available	no age record available	no age record available	no age record available	23.9	0.96	18.0	
7	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Bison,Bison bison	Bison bison		9901	American bison	Artiodactyla	2.5	630000.0		42.14	33.5	18.0	19.0	no age record available	no age record available	33.5	0.8		
8	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Bison,Bison bonasus	Bison bonasus		9902	European bison	Artiodactyla	2.0	610000.0		41.89	27.0	no age record available	no age record available	no age record available	no age record available	27.0	0.64		
9	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Bos,Bos gaurus	Bos gaurus		9904	Seladang	Artiodactyla	1.89	1500000.0	Mass filled from web encyclopedia; 	49.52	26.2	no age record available	no age record available	no age record available	no age record available	26.2	0.53		
10	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Bos,Bos grunniens	Bos grunniens		30521	Yak	Artiodactyla	2.02	667000.0		42.59	26.3	no age record available	no age record available	no age record available	no age record available	26.3	0.62	25.0	
11	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Bos,Bos taurus	Bos taurus	Available	9913	Domestic cattle	Artiodactyla	1.5	750000.0		43.53	36.5	18.06	19.83	20.45	21.97	23.17	0.53	36.5	27.3
12	Theria,Eutheria,Boreoeutheria,Laurasiatheria,Artiodactyla,Ruminantia,Pecora,Bovidae,Bovinae,Boselaphus,Boselaphus tragocamelus	Boselaphus tragocamelus		9917	Nilgai	Artiodactyla	2.23	180000.0		33.38	21.7	no age record available	no age record available	no age record available	no age record available	21.7	0.65		
