Author;Source;Link
J. A. Moorad et al 2012;A comparative assessment of univariate longevity measures using zoological animal records;https://pubmed.ncbi.nlm.nih.gov/22805302/
J.P. de Magalhães and J. Costa 2009;A database of vertebrate longevity records and their relation to other life-history traits;https://pubmed.ncbi.nlm.nih.gov/19522730/
N. P. Myhrvold et al. 2015;An amniote life-history database to perform comparative analyses with birds, mammals, and reptiles (AmnDB);https://esajournals.onlinelibrary.wiley.com/doi/10.1890/15-0846R.1
H. F. Huber et al 2024;Comparative lifespan and healthspan of nonhuman primate species common to biomedical research;https://pmc.ncbi.nlm.nih.gov/articles/PMC11872815/
T. Lonergan et al 2026;Defying expectations: sex-biased telomere dynamics and extended lifespan in the tropical bat species, Molossus molossus.;https://www.researchgate.net/publication/397135402_Defying_expectations_sex-biased_telomere_dynamics_and_extended_lifespan_in_the_tropical_bat_species_Molossus_molossus
D. M. Adams 2025;DNA Methylation Dynamics Reflect Sex and Status Differences in Mortality Rates in a Polygynous Bat;https://pmc.ncbi.nlm.nih.gov/articles/PMC12010472/
G. A. Breed et al 2024;Extreme longevity may be the rule not the exception in Balaenid whales;https://www.science.org/doi/10.1126/sciadv.adq3086
J. G. Ruby et al. 2024;Five years later, with double the demographic data, naked mole-rat mortality rates continue to defy Gompertzian laws by not increasing with age;https://pmc.ncbi.nlm.nih.gov/articles/PMC11336006/
C. Mundinger et al. 2022;Global warming leads to larger bats with a faster life history pace in the long-lived Bechstein’s bat (Myotis bechsteinii);https://www.nature.com/articles/s42003-022-03611-6
R. S. Wells et al. 2025;Life history, reproductive, and demographic parameters for bottlenose dolphins (Tursiops truncatus) in Sarasota Bay, Florida;https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2025.1531528/full
M. S. Kent 2022;Longevity and mortality in cats: A single institution necropsy study of 3108 cases (1989–2019);https://pmc.ncbi.nlm.nih.gov/articles/PMC9799304/
A. Monadjem 2006;Longevity and movement of the common slit-faced bat Nycteris thebaica;https://www.researchgate.net/profile/Ara-Monadjem/publication/240635952_Longevity_and_movement_of_the_common_slit-faced_bat_Nycteris_thebaica/links/5efaf27345851550507e18b0/Longevity-and-movement-of-the-common-slit-faced-bat-Nycteris-thebaica.pdf
M. Merwe et al. 1989;Longevity in Schreibers' long-fingered bat;https://journals.co.za/doi/abs/10.10520/AJA03794369_2701
P. Dammann et al. 2022;Longevity of a solitary mole-rat species and its implications for the assumed link between sociality and longevity in African mole-rats (Bathyergidae);https://royalsocietypublishing.org/rsbl/article/18/11/20220243/63031/Longevity-of-a-solitary-mole-rat-species-and-its
V. Ronget et al 2025;MammaLian Demographic Database for comparative analyses of evolutionary biodemography: malddaba;https://www.biorxiv.org/content/10.1101/2025.07.01.662579v1.full
S. D. Judge and J. R. Carey 2002;Max Planck longevity records;https://www.demogr.mpg.de/longevityrecords/
Davis et al 1962;Mexican Free-Tailed Bats in Texas;https://esajournals.onlinelibrary.wiley.com/doi/10.2307/1942378
J. G. Ruby et al. 2018;Naked mole-rat mortality rates defy Gompertzian laws by not increasing with age;https://elifesciences.org/articles/31157
K. E. Jones 2009;PanTHERIA: a species-level database of life history, ecology, and geography of extant and recently extinct mammals;https://esajournals.onlinelibrary.wiley.com/doi/10.1890/08-1494.1
M. Ahn 2026;Personal communication, Methylation study;https://dr.ntu.edu.sg/entities/person/Matae-Ahn
R. Orman 2026;Personal communication, Methylation study;https://www.downstate.edu/faculty/pharmacology/orman.html
C. Moss 2026;Personal communication, Methylation study;https://www.batlabatjohnshopkinsuniversity.org/
K. Sears 2026;Personal communication, Methylation study;https://www.searslab.eeb.ucla.edu
R. Buffenstein 2026;Personal communication, Study Colony;https://bios.uic.edu/profiles/buffenstein-rochelle/
M. Brecht 2026;Personal communication, Study colony;https://www.activetouch.de/index.php?id=13
S. Vernes 2026;Personal communication, Study colony;https://verneslab.wordpress.com/
G. G. Carter 2026;Personal communication, Study Colony, Methylation study;https://eeb.princeton.edu/people/gerald-g-carter
C. E. Brook et al. 2019;Population trends for two Malagasy fruit bats;https://www.sciencedirect.com/science/article/pii/S0006320718316744
J. W. Kemnitz 2019;Primate Ageing Database (PAD);https://pmc.ncbi.nlm.nih.gov/articles/PMC6845424/
P. Dammann et al. 2019;Response to comment on 'Naked mole-rat mortality rates defy Gompertzian laws by not increasing with age;https://pmc.ncbi.nlm.nih.gov/articles/PMC6615856/
J. G. Rayner 2025;Sex Differences in Telomere Length in a Bat With Female‐Biased Longevity;https://pmc.ncbi.nlm.nih.gov/articles/PMC12076057/#_ad93_
R. Gerell and K. Lundberg 1990;Sexual differences in survival rates of adult pipistrelle bats (Pipistrellus pipistrellus) in South Sweden;https://pubmed.ncbi.nlm.nih.gov/28313014/
